formula,target_hardness_Reuss,target_hardness_VRH,target_hardness_Voigt,Bulk_Reuss,Bulk_Voigt,Bulk_VRH,Shear_Reuss,Shear_Voigt,Shear_VRH
AgSbTe2,-0.030570986,0.282753984,8.196978704,17,19,18,50,19,50
Al,-0.419758046,0.005933419,10.14694665,22,25,24,83,25,83
Al(CoSi)2,10.8811919,11.30742548,26.40875129,94,99,96,174,99,175
Al(CrB)2,26.81906577,27.26993708,38.17701934,173,176,175,226,176,227
Al(FeB)2,17.11626863,17.19968388,31.6444526,127,131,129,199,131,203
Al(SnO2)2,2.180628137,2.671975233,16.72093257,43,50,46,125,50,128
Al12Co4Cu,10.49337572,10.68808468,22.19451179,73,76,74,122,76,123
Al12Mo,9.317198441,9.317198441,18.29201612,57,57,57,91,57,91
Al12Re,17.5167326,17.5167326,22.77162742,79,79,79,96,79,96
Al12Tc,15.51804118,15.51804118,21.80450426,74,74,74,95,74,95
Al12W,9.16070097,9.16070097,18.29201612,57,57,57,92,57,92
Al13(CrSi)4,8.715857241,9.039020603,20.40365865,64,67,65,113,67,113
Al13Os4,7.849265407,8.914064219,22.96196966,73,80,77,147,80,147
Al21Pd8,4.92379718,4.92379718,16.72093257,50,50,50,109,50,109
Al21Pt8,6.238594622,6.157374824,19.57585552,62,63,62,132,63,133
Al23B50,6.98778052,17.28903324,36.65136139,80,165,122,181,165,186
Al2CdS4,2.281922782,3.243616365,9.836705333,20,24,22,39,24,39
Al2CoIr,8.056745852,8.933589817,26.40875129,90,99,94,198,99,198
Al2CoOs,11.8044893,12.29355343,28.27841348,107,110,109,200,110,200
Al2CoRu,13.97489669,13.97489669,28.60985757,111,112,111,188,112,188
Al2Cu,4.284805441,4.862519514,16.48923097,45,49,47,100,49,100
Al2CuO4,-0.831374437,0.409561439,17.85173366,34,55,44,185,55,185
Al2FeCo,15.5957662,16.46311059,29.7510304,114,119,117,181,119,181
Al2FeIr,9.925104005,11.42401742,27.43867444,93,105,99,182,105,182
Al2FeNi,9.626251171,11.73408135,26.92685615,87,102,95,168,102,168
Al2FeO4,-2.134494438,0.852342424,22.00004755,20,75,47,183,75,184
Al2IrOs,13.78935815,13.78935815,31.17809306,128,128,128,235,128,235
Al2IrRh,8.055629307,8.68912244,26.23460632,93,98,96,208,98,208
Al2IrRu,14.48990515,14.48990515,30.7071748,125,125,125,219,125,219
Al2Mo3C,4.203015421,5.043895738,24.26771577,77,87,82,226,87,226
Al2NiO4,11.31104755,12.02945163,28.60985757,106,112,109,203,112,203
Al2NiRu,7.566599827,8.723255703,24.99427407,82,91,87,179,91,179
Al2PdRu,6.962633137,7.636087559,23.89924356,79,85,82,178,85,178
Al2RuPt,9.166807098,9.390105436,26.40875129,96,99,97,201,99,201
Al2RuRh,16.00578773,16.00578773,29.10245399,115,115,115,180,115,180
Al2S3,4.252694482,4.591375796,9.199646986,21,22,22,32,22,33
Al2SiO5,12.76009996,12.9967624,24.81389839,87,90,89,139,90,142
Al2ZnS4,4.586804612,5.933285063,16.48923097,41,49,45,84,49,84
Al2ZnSe4,3.436280939,4.49814642,10.45207885,22,26,24,38,26,38
Al2ZnTe4,3.209084705,3.827110117,8.538053361,18,20,19,29,20,29
Al3BN4,19.23233876,21.47706079,35.65844594,142,158,150,216,158,216
Al3Cr,13.88413555,16.70756773,24.63268902,76,89,83,107,89,107
Al3Cu,5.559269216,6.208715723,16.72093257,47,50,49,93,50,93
Al3Cu2,2.048493721,4.117963495,17.40475476,37,53,45,102,53,102
Al3Fe,3.989255864,4.477379648,17.85173366,51,55,53,125,55,125
Al3Fe2Si3,12.37124062,12.73712308,24.99427407,87,91,89,142,91,144
Al3Ni5,4.829811944,6.799056047,23.71365901,66,84,75,167,84,167
Al3Pd2,6.577270334,6.760738976,19.78480313,62,64,63,128,64,129
Al3Pd5,1.673109487,2.20914652,17.17864276,47,52,50,156,52,156
Al3Pt2,7.353153215,7.603340056,22.00004755,73,75,74,153,75,153
Al4Bi2O9,11.0434973,11.61497363,21.41009705,68,72,70,106,72,107
Al4C3,17.4998859,18.15252828,29.10245399,111,115,113,160,115,160
Al4Mo,12.07071059,12.43489853,22.00004755,73,75,74,111,75,111
Al4W,12.36179633,12.56122421,22.77162742,76,79,77,116,79,117
Al5Co2,13.42961296,13.77858867,23.71365901,83,84,84,125,84,125
Al5Mo,15.50899133,15.52187005,24.0839242,85,86,86,117,86,119
Al5Rh2,10.32448506,10.63370217,22.387917,76,77,77,131,77,131
Al6C3N2,14.34215687,14.93746228,27.94445888,103,108,105,165,108,165
Al6Fe,6.068308463,6.988312482,18.50975045,53,58,56,106,58,106
Al6Ru,6.169351693,6.660626258,18.94059885,55,60,57,111,60,112
Al7CoCu2,8.760972062,8.760972062,19.78480313,63,64,63,110,64,110
Al9Co2,12.90573538,13.29010192,22.00004755,73,75,74,106,75,106
AlAg2,0.667865757,0.844308297,11.90996372,29,31,30,93,31,94
AlAgO2,0.472093271,4.282595639,23.15132703,39,81,60,152,81,154
AlAgO3,-2.175860786,0.575837691,15.78206448,13,46,30,100,46,100
AlAgS2,0.013763683,0.283193014,9.521050863,20,23,21,63,23,63
AlAgSe2,-0.163753711,0.13551823,8.196978704,17,19,18,52,19,52
AlAgTe2,0.273850892,0.641381512,7.848368054,16,18,17,42,18,42
AlAsO4,5.143510749,5.519133276,8.538053361,18,20,19,23,20,24
AlAsPt5,1.167825227,1.946569568,19.99240016,53,65,59,206,65,209
AlAu,-0.703175356,0.617768403,14.05307848,23,39,31,98,39,104
AlAu4,-2.376910797,-2.1029633,8.196978704,13,19,16,127,19,127
AlB2,7.341490981,15.97165685,34.93800441,81,153,117,179,153,185
AlBMo,17.48297574,18.73238147,33.46712936,133,143,138,210,143,211
AlBN2,21.36834478,23.58447096,39.39605597,168,185,177,257,185,258
AlBO3,18.24139427,18.90981762,33.16789028,131,141,136,199,141,205
AlBPbO4,6.772670788,9.096576355,17.62910304,37,54,46,58,54,67
AlClO,1.500233939,5.138028386,13.79590462,4,38,21,4,38,29
AlCo,16.13007441,17.01450586,29.91175373,115,120,118,179,120,179
AlCo3,-1.380116423,0.64011673,19.3655269,29,62,46,187,62,187
AlCo3C,10.34827275,11.19617072,30.07192217,112,121,116,234,121,234
AlCoF5,1.924258968,3.958072512,17.85173366,36,55,45,100,55,104
AlCr2C,20.17017504,20.47678409,32.10640047,133,134,134,189,134,189
AlCr3B4,25.82057615,25.96446235,38.99250259,181,182,182,249,182,250
AlCrCo2,5.925875798,8.374890013,27.43867444,81,105,93,203,105,203
AlCrFe2,6.045281665,7.117864179,26.92685615,91,102,97,239,102,239
AlCrO4,9.521688356,12.04745992,29.10245399,93,115,104,187,115,189
AlCrRu2,10.7643798,10.7643798,28.77465802,113,113,113,231,113,231
AlCu,9.495237521,9.696660164,20.60737559,66,68,67,112,68,113
AlCu3,1.817932546,2.423299268,16.25555849,43,48,46,133,48,133
AlCuAu2,-2.020334325,-0.648189204,14.05307848,17,39,28,129,39,129
AlCuCl4,-0.961583568,-0.46461812,2.704905793,5,6,6,11,6,12
AlCuO3,-2.780358592,-2.664629577,7.491621506,11,17,14,241,17,241
AlCuPt2,5.703950648,6.502408647,24.0839242,78,86,82,196,86,196
AlCuS2,5.007085758,5.804076411,14.55935471,36,41,38,66,41,66
AlCuSe2,1.776170023,2.439561582,11.62668571,26,30,28,63,30,63
AlCuTe2,1.821014479,2.194895465,10.45207885,23,26,24,52,26,52
AlFe,8.79560608,11.04689726,27.43867444,86,105,95,175,105,175
AlFe2,-1.881653568,1.461985568,20.60737559,20,68,44,147,68,147
AlFe2Mo,1.810944091,3.593379432,23.71365901,61,84,73,225,84,225
AlFe2Si,14.03258675,14.52565121,30.7071748,122,125,124,216,125,216
AlFe2W,-0.17154647,2.049575938,23.33971669,46,82,64,232,82,232
AlFe3,2.077986317,6.121978479,25.8840885,53,96,74,174,96,174
AlFe3C,6.09887899,7.774824134,27.6079277,89,106,98,230,106,230
AlFe4(CuO4)3,-2.193556893,-2.038706453,9.836705333,19,24,21,180,24,180
AlFeCo2,8.51979561,10.64165541,27.7765196,89,107,98,188,107,188
AlFeF5,2.228826919,3.922029337,17.17864276,36,52,44,95,52,101
AlFeO3,7.212837901,7.391294046,23.29559942,80.12643198,81.76536254,80.94589726,178.0065475,81.76536254,178.0879158
AlGa3N4,11.28311677,13.9670806,29.42789251,97,117,107,178,117,178
AlGaN2,11.74949509,14.68360366,30.23154222,101,122,112,184,122,184
AlGeRu2,7.408735101,7.408735101,25.53052675,93,94,93,219,94,219
AlHO2,13.42829601,14.914085,25.17382902,72,92,82,101,92,114
AlInO3,8.123409473,8.581377887,24.81389839,86,90,88,184,90,184
AlMoO3,-1.554698358,0.469023663,18.94059885,25,60,42,165,60,170
AlNiF5,5.348945951,7.7029227,19.3655269,45,62,53,89,62,92
AlNiO3,4.55809545,6.138845594,24.0839242,70,86,78,188,86,188
AlP(H2O3)2,9.179686202,8.98200086,16.48923097,48,49,48,71,49,72
AlPO4,9.238013128,9.557289125,10.7523779,24,27,25,25,27,26
AlPPt5,4.160569247,4.987530744,23.52715529,74,83,79,214,83,215
AlPd2,2.17034782,2.313575588,17.40475476,50,53,51,157,53,158
AlPd5I2,0.97831188,2.417457139,7.491621506,9,17,13,15,17,20
AlSbO3,5.377441008,5.849763298,20.40365865,63,67,65,147,67,147
AlSbO4,12.62390127,15.05163902,31.6444526,107,131,119,191,131,198
AlSiRu2,10.00962505,10.2160168,28.77465802,111,113,112,236,113,236
AlSiTe3,-1.309789347,1.786336439,7.126052752,3,16,10,6,16,15
AlSn,2.85184691,2.426350646,11.04809528,17,28,23,28,28,47
AlSnO3,1.17578385,5.347150276,19.15378564,31,61,46,92,61,92
AlTlF4,0.0199651,1.867054583,10.7523779,16,27,21,45,27,45
AlTlO2,-0.218313253,1.454259296,14.80864311,26,42,34,100,42,100
AlTlSe2,0.803171673,1.172638576,6.750870355,12,15,13,24,15,25
AlV2C,22.02621261,22.36504694,31.79891838,130,132,131,171,132,171
AlV3,-2.939464429,-2.697729781,7.491621506,4,17,10,159,17,159
AlV4C3,25.77398917,25.77398917,36.79176721,166,166,166,219,166,219
AlVCo2,9.141018833,10.30973231,27.09814791,93,103,98,192,103,192
AlVFe2,17.65287391,17.65287391,32.56407582,137,137,137,218,137,218
AlVFeCo,4.33003031,5.523342834,25.35257582,78,93,85,227,93,227
AlVNi2,-1.272532998,1.652505906,21.41009705,29,72,51,177,72,177
AlVO3,-0.006801496,1.485916445,19.78480313,41,64,52,186,64,188
AlVOs2,13.48824383,13.48824383,33.01761044,140,140,140,273,140,273
AlVPt,-1.386836344,-1.386836344,9.199646986,22,22,22,124,22,124
AlVRu2,12.65539636,12.65539636,30.54916237,123,124,123,235,124,235
AlWO3,8.6992499,8.6992499,21.41009705,72,72,72,135,72,135
AlWO4,11.78830238,14.48913921,31.79891838,108,132,120,203,132,206
AlZnIr2,10.38904886,10.60738082,28.27841348,108,110,109,221,110,221
AlZnRh2,8.738660304,8.971117058,24.99427407,89,91,90,185,91,185
As2Ir,12.77882299,13.8717065,26.58216776,92,100,96,151,100,152
As2O5,4.115423312,5.559269216,17.17864276,42,52,47,92,52,93
As2Pb3O8,1.686324693,2.42709902,9.199646986,19,22,21,40,22,41
As2PdO6,7.96164471,8.027350127,22.19451179,68,76,72,131,76,142
As2Rh,10.34797857,11.51057865,24.26771577,78,87,83,136,87,139
As3W2,7.219347862,9.382805452,23.33971669,66,82,74,133,82,134
As4C3,13.37706723,13.37706723,22.387917,77,77,77,112,77,112
AsPd3Pb2,0.45166529,0.679151014,11.33946091,27,29,28,88,29,88
AsPd5,0.985010518,1.324007261,15.78206448,42,46,44,151,46,151
AsPdS,1.756870535,1.756870535,13.53590636,36,37,36,103,37,103
AsRh,3.964973943,4.384618705,19.3655269,59,62,61,156,62,156
Au,-2.640195217,-2.266994739,8.196978704,10,19,15,137,19,137
Au2O3,3.649717983,3.928237002,14.80864311,34,42,38,71,42,81
AuCl,-2.170339001,-1.309789347,2.127757142,2,5,3,6,5,6
AuN,-1.104125807,-0.991825327,12.18947394,30,32,31,172,32,172
AuO2F,3.30105706,0.436373504,5.967819466,4,13,9,3,13,17
B12W,4.534384202,10.64046455,34.2077235,82,148,115,239,148,239
B13C2,21.39082736,23.25723365,36.65136139,152,165,159,221,165,222
B13N2,17.82955376,21.14627086,37.76495488,148,173,161,243,173,243
B2AsP,28.98510774,29.96717018,33.46712936,137,143,140,150,143,151
B2CN,32.3882439,37.26210009,51.02781996,242,280,261,323,280,324
B2O3,18.14210377,15.01687954,14.55935471,31,41,36,23,41,33
B2Os,13.1609102,16.0893014,38.99250259,150,182,166,308,182,311
B4C,27.26993708,28.18651503,38.8573724,175,181,178,227,181,227
B6O,37.23840505,37.64505345,42.78626653,204,211,207,224,211,227
B6P,37.79288921,37.79288921,40.19510316,190,191,190,199,191,199
B8O,31.79133236,32.83283953,39.127325,177,183,180,205,183,205
B9C,13.62185929,15.37699163,31.02163433,112,127,119,194,127,195
BAs,27.96582507,29.32580797,30.8646635,121,126,124,128,126,128
BAsO4,11.14850577,12.34754803,15.29994614,38,44,41,44,44,46
BC,-1.767178003,3.587213667,32.41198382,31,136,83,261,136,273
BIrPd,2.224233251,3.23526006,22.96196966,66,80,73,236,80,236
BMo2C,18.51760373,19.15094819,39.52996918,180,186,183,317,186,317
BNF8,7.80E-05,7.80E-05,3.750526369,8,8,8,16,8,16
BPO4,19.62047368,20.24023139,19.99240016,59,65,62,57,65,60
BW2,12.25823091,12.25823091,34.93800441,152,153,152,330,153,330
Ba(AgGe)2,4.581298157,4.861776472,11.90996372,29,31,30,50,31,51
Ba(AgS)2,0.609505104,0.949505591,8.872120148,19,21,20,50,21,50
Ba(AgSn)2,-1.742014886,-1.006363,7.126052752,10,16,13,47,16,47
Ba(AlGe)2,-1.616657937,-0.725955761,7.491621506,9,17,13,37,17,42
Ba(AlSi)2,1.821246274,3.189572839,10.7523779,18,27,23,36,27,42
Ba(AlTe2)2,1.44627692,2.116865532,5.967819466,12,13,13,21,13,21
Ba(AsPd)2,2.167613824,2.167613824,11.90996372,30,31,30,73,31,73
Ba(AsRh)2,2.487906145,3.393307595,13.79590462,33,38,36,80,38,80
Ba(AsRu)2,4.232057388,4.694036328,15.05548015,36,43,39,72,43,77
Ba(BIr)2,7.044678608,9.784313463,22.00004755,50,75,62,89,75,100
Ba(BRh)2,4.58084834,7.315370416,18.94059885,40,60,50,81,60,87
Ba(BiPd)2,-0.083878584,0.190808021,8.538053361,19,20,20,60,20,60
Ba(CdAs)2,4.268898254,4.766650643,10.7523779,26,27,27,44,27,44
Ba(CdP)2,5.804629826,5.804629826,12.46538196,32,33,32,51,33,51
Ba(CdSb)2,1.361078728,1.821246274,8.196978704,17,19,18,36,19,36
Ba(CoAs)2,3.52481983,4.601292565,13.79590462,33,38,36,69,38,69
Ba(CoN)2,-1.312439105,1.328001988,16.72093257,16,50,33,74,50,98
Ba(CrAs)2,5.159215034,5.598088558,12.73784132,33,34,34,57,34,57
Ba(Cu3As)2,-0.891564434,0.861830478,11.90996372,17,31,24,67,31,67
Ba(CuAs)2,1.514794644,2.737197766,12.18947394,23,32,27,55,32,57
Ba(CuO)2,0.768294759,0.924379949,9.521050863,21,23,22,56,23,58
Ba(FeAs)2,5.295137748,5.762708241,15.29994614,40,44,42,75,44,77
Ba(FeP)2,8.426063183,9.095845947,18.50975045,53,58,56,87,58,90
Ba(FeS2)2,0.286422137,1.552872129,9.521050863,15,23,19,38,23,41
Ba(GeRh)2,4.394753191,4.842586448,14.55935471,33,41,37,62,41,70
Ba(MgAs)2,7.193177021,7.758787235,12.46538196,32,33,33,45,33,45
Ba(MgBi)2,3.909465557,3.65751515,8.872120148,20,21,20,31,21,32
Ba(MgGe)2,8.346550937,8.346550937,12.73784132,33,34,33,43,34,43
Ba(MgP)2,8.359701391,8.904005029,13.79590462,37,38,38,51,38,51
Ba(MgPb)2,3.084390656,3.084390656,8.196978704,19,19,19,32,19,32
Ba(MgSb)2,4.412904787,4.987792948,10.14694665,23,25,24,36,25,36
Ba(MnAs)2,7.311574436,7.561648442,15.29994614,42,44,43,67,44,68
Ba(MnGe)2,6.533376622,7.750103757,12.73784132,28,34,31,39,34,41
Ba(MnP)2,5.933285063,6.509147704,16.48923097,45,49,47,84,49,85
Ba(MnSb)2,1.500233939,2.154694237,8.538053361,16,20,18,32,20,34
Ba(NO2)2,0.175544374,0.047806739,5.967819466,12,13,12,28,13,29
Ba(NO3)2,-1.083315181,-0.694022322,4.691835641,9,10,10,28,10,28
Ba(NbN2)2,9.470939113,10.26310782,11.33946091,28,29,29,31,29,31
Ba(NiAs)2,1.150231115,2.010058907,11.33946091,24,29,27,63,29,64
Ba(NiP)2,3.236685107,4.234397092,14.3075299,34,40,37,75,40,75
Ba(NiP2)2,1.686724375,2.924412375,15.54211696,35,45,40,100,45,100
Ba(P2Pd)2,2.172860524,2.172860524,13.00699472,34,35,34,88,35,88
Ba(PIr)2,4.20699252,5.868071287,18.29201612,42,57,50,91,57,99
Ba(PO3)2,0.949505591,1.204048832,9.521050863,20,23,21,50,23,51
Ba(PPd)2,3.124935492,3.753577087,12.46538196,29,33,31,60,33,61
Ba(PdO2)2,-0.786011143,0.45166529,12.73784132,20,34,27,82,34,88
Ba(SbO3)2,5.804076411,6.03671992,15.54211696,38,45,42,66,45,75
Ba(SbPd)2,0.070713946,0.56248757,9.521050863,20,23,22,62,23,63
Ba(Si3N4)2,15.44408049,16.41630155,27.6079277,101,106,104,152,106,152
Ba(SiNi)2,5.43967164,7.583199245,15.05548015,30,43,36,48,43,52
Ba(TaN2)2,4.369832179,4.89498136,10.45207885,25,26,26,41,26,41
Ba(ZnAs)2,3.965226355,3.965226355,11.33946091,28,29,28,51,29,51
Ba(ZnP)2,2.982036451,3.781318387,11.90996372,27,31,29,55,31,55
Ba(ZnSn)2,2.421783468,2.861688241,9.836705333,22,24,23,44,24,44
Ba2As,2.239177715,1.98468301,6.750870355,14,15,14,23,15,24
Ba2AsAu,3.909465557,3.909465557,8.872120148,20,21,20,31,21,31
Ba2BrN,1.223493552,1.669143536,8.196978704,17,19,18,37,19,37
Ba2CaCu2HgO6,1.92976134,2.86883363,14.05307848,30,39,34,76,39,79
Ba2CaIrO6,6.667428761,6.972438456,18.50975045,56,58,57,109,58,109
Ba2CoF6,2.012347007,2.261353339,10.7523779,25,27,26,57,27,58
Ba2CoMoO6,7.32845479,7.814762009,20.19867592,62,66,64,120,66,121
Ba2CoO4,-0.954984641,0.545096033,10.7523779,15,27,21,57,27,59
Ba2CoReO6,2.123413147,3.586109618,16.72093257,39,50,45,109,50,109
Ba2Cu3(ClO2)2,1.390233829,0.689222686,9.199646986,18,22,20,39,22,53
Ba2CuBrO2,-0.336040697,-0.336040697,6.750870355,14,15,14,41,15,41
Ba2CuF6,1.242790575,1.57182894,10.14694665,23,25,24,58,25,58
Ba2CuH6,4.08634331,4.661304715,9.836705333,22,24,23,35,24,35
Ba2CuO3,4.357547867,4.251384082,14.3075299,39,40,39,80,40,81
Ba2FeO4,2.873479902,3.124935492,11.33946091,28,29,29,59,29,60
Ba2FeReO6,9.801586989,10.7523779,22.58028261,72,78,75,125,78,125
Ba2Ga2O5,3.186794122,6.388924868,19.78480313,41,64,52,100,64,100
Ba2GeO4,2.439561582,3.027638916,11.90996372,28,31,30,63,31,64
Ba2H6Os,1.191822977,1.586675405,8.872120148,19,21,20,44,21,44
Ba2H6Ru,2.586176688,3.061381382,9.521050863,21,23,22,40,23,40
Ba2HfO4,7.17224198,7.795829037,19.15378564,58,61,60,110,61,110
Ba2LiN,-1.685071999,-1.189222621,3.243273335,5,7,6,16,7,16
Ba2LiOsO6,2.874591824,4.067764862,15.29994614,36,44,40,86,44,86
Ba2LiReO6,3.639623342,5.248222553,16.01985679,38,47,43,84,47,84
Ba2MgH6,7.451814036,8.092539647,11.90996372,29,31,30,38,31,38
Ba2MgReO6,8.639642932,9.265724128,21.01111618,66,70,68,119,70,119
Ba2Mn3(AsO)2,8.345182095,8.625967815,13.79590462,36,38,37,49,38,50
Ba2MnSe3,2.478768542,2.800477041,8.538053361,19,20,20,35,20,36
Ba2MnTe3,1.697807951,1.50883661,7.126052752,15,16,15,28,16,29
Ba2NF,2.709574009,2.99617172,9.836705333,23,24,24,45,24,46
Ba2NiF6,2.873479902,3.246570248,11.62668571,28,30,29,59,30,59
Ba2NiMoO6,7.711119093,8.60780951,20.80985298,64,69,67,122,69,122
Ba2NiWO6,7.130628948,8.006568345,20.60737559,62,68,65,122,68,122
Ba2PbO4,5.134802101,5.469724808,15.29994614,43,44,44,85,44,85
Ba2Pd2O5,1.974900906,2.87253281,15.29994614,33,44,39,87,44,97
Ba2PdO3,4.805709012,5.354611413,15.78206448,42,46,44,85,46,86
Ba2RuO4,8.638859838,8.737874677,16.48923097,45,49,47,67,49,71
Ba2S3,-0.070717787,0.125900172,6.365153423,12,14,13,30,14,32
Ba2SbAu,2.194869844,2.194869844,7.848368054,17,18,17,31,18,31
Ba2Si5N8,12.17703532,12.4526979,26.40875129,97,99,98,169,99,169
Ba2SnO4,6.5182764,6.848237672,17.17864276,51,52,52,96,52,96
Ba2TiO4,2.340252243,2.679471341,11.62668571,28,30,29,64,30,64
Ba2YAg3O8,1.92976134,2.668253572,14.3075299,30,40,35,76,40,85
Ba2YBiO6,9.766347573,10.09765892,21.01111618,68,70,69,115,70,115
Ba2YCu3O7,6.378094268,6.366503789,18.29201612,53,57,55,103,57,109
Ba2YNbO6,9.677975227,10.27726441,22.77162742,75,79,77,134,79,134
Ba2YTaO6,9.491806372,9.677975227,22.387917,74,77,75,133,77,134
Ba2ZnF6,1.330008678,1.665811011,10.14694665,23,25,24,57,25,57
Ba2ZnN2,1.561678719,2.080400586,10.45207885,22,26,24,51,26,53
Ba2ZnReO6,2.359252697,3.447756546,17.85173366,45,55,50,130,55,130
Ba2ZrO4,6.677399133,6.988312482,18.50975045,55,58,56,106,58,106
Ba2ZrS4,2.857245268,3.243273335,11.62668571,27,30,28,56,30,56
Ba3(AlGe)2,3.422089126,3.99622146,9.199646986,20,22,21,33,22,33
Ba3(AlSi)2,3.530782886,4.08634331,9.521050863,21,23,22,35,23,35
Ba3(AlSn)2,3.314651447,3.909465557,8.538053361,19,20,20,31,20,31
Ba3AsN,5.126396932,5.682868263,10.7523779,26,27,27,40,27,40
Ba3Bi2,-0.932201457,0.866884183,5.967819466,7,13,10,18,13,18
Ba3BiAs,-1.924573732,0.01705958,5.967819466,5,13,9,19,13,19
Ba3BiP,-1.775109926,0.436373504,5.967819466,5,13,9,17,13,17
Ba3BiSb,-0.689277315,1.040815889,6.365153423,8,14,11,20,14,20
Ba3FeN3,3.827110117,2.869231716,8.538053361,19,20,19,29,20,33
Ba3GaN3,2.994845932,2.617481113,8.872120148,20,21,20,35,21,37
Ba3Hf2O7,8.992418571,9.609127204,21.41009705,69,72,71,124,72,124
Ba3In2Br2O5,7.320556161,4.987792948,11.33946091,20,29,24,22,29,36
Ba3In2O5F2,2.539290313,2.747283876,13.27297505,34,36,35,83,36,84
Ba3In2O6,2.242494331,3.372541643,14.55935471,34,41,38,87,41,87
Ba3N,-1.755476154,-0.691277593,3.243273335,4,7,6,12,7,13
Ba3N2,2.281922782,3.243616365,9.521050863,20,23,22,39,23,39
Ba3Nb5O15,9.331671877,10.31901547,24.4506327,81,88,85,154,88,155
Ba3OsN3,3.56532113,3.56532113,10.45207885,26,26,26,48,26,48
Ba3PN,5.370716455,5.943918056,10.7523779,26,27,27,39,27,39
Ba3RuN3,3.609309201,3.441515376,10.14694665,25,25,25,45,25,46
Ba3Sb2,-0.689277315,1.040815889,6.365153423,8,14,11,20,14,20
Ba3SbAs,-1.058956167,0.62984669,6.365153423,7,14,10,19,14,19
Ba3SbN,-2.018275033,-0.155679352,7.126052752,6,16,11,27,16,27
Ba3SbP,-1.519038642,0.62984669,6.365153423,6,14,10,19,14,19
Ba3SiO,5.310338112,5.902504548,10.45207885,25,26,26,37,26,37
Ba3SnO,6.174541679,6.174541679,10.14694665,25,25,25,34,25,34
Ba3SrI8,-1.924573732,-1.519038642,3.750526369,5,8,6,19,8,19
Ba3Ti2O7,5.364611355,6.732965396,17.17864276,43,52,48,83,52,86
Ba3V2O8,1.974585651,2.200978348,11.62668571,28,30,29,68,30,69
Ba3WO6,-1.875049179,0.155998467,14.05307848,15,39,27,95,39,95
Ba3ZnN2O,2.992134985,3.246570248,11.62668571,28,30,29,58,30,59
Ba3Zr2O7,8.331906742,8.639642932,20.40365865,65,67,66,119,67,119
